Y,YRT70-F30,YRT70-F30S,YRT70-F29,YRT70-F28,YRT70-F27,YRT70-M26,YRT70-M25,YRT70-M24,YRT70-M23,YRT70-M22,YRT70-F22,YRT70-F21,YRT70-M19,YRT70-M18,YRT85-F30,YRT85-F29,YRT85-F28,YRT85-M26,YRT85-M25,YRT85-M24,YRT85-M23,YRT85-F22,YRT85-F21,YRT85-M19,YRT85-M18,LEVEL-F29,LEVEL-F28,LEVEL-M25,LEVEL-M23,LEVEL-F21,LEVEL-M18
51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.740000,18.110000,25.959984,23.939988,21.959988,45.140976,41.550000,18.769992,17.270000,13.050000,11.960000,12.399996,11.450000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.540000,28.169988,25.959984,23.939988,49.507476,45.140000,20.269992,18.770000,14.289996,13.050000,13.339992,12.350000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.389988,28.169988,25.959984,54.078984,49.180000,22.019988,20.160000,15.419988,14.200000,14.340000,13.280000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.659992,30.229992,28.009992,58.998972,54.080000,23.989992,22.020000,16.679988,15.420000,15.599988,14.270000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.449980,32.659992,30.219984,63.959976,59.000000,26.379984,23.990000,18.129996,16.650000,17.069988,15.530000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.449980,32.659992,69.433476,63.960000,28.779984,26.380000,19.839996,18.080000,18.539988,17.000000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.449980,74.886468,69.430000,31.199988,28.780000,21.809988,19.840000,20.019996,18.460000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.933964,74.890000,33.869988,31.200000,23.659992,21.690000,21.769992,19.850000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.862968,80.320000,36.329988,33.680000,25.649988,23.660000,23.739996,21.670000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.150000,39.179988,36.320000,27.839988,25.650000,26.099988,23.630000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.509988,39.180000,30.039984,27.840000,28.469988,25.990000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.510000,32.419992,30.040000,30.889992,28.340000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.189988,32.420000,33.519984,30.750000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.190000,35.989980,33.230000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.819988,35.820000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
66,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.129984,38.640000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.930000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
68,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
69,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.870000,8.840000,4.410000,3.580000,3.790000
73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.840000,4.410000,3.580000,3.790000
74,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.840000,4.410000,3.580000,3.790000
75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.840000,4.410000,3.580000,3.790000
76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.410000,3.580000,3.790000
77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.410000,3.580000,3.790000
78,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.580000,3.790000
